intraday_price,market_cap,price_change,stock_name,volume
79.05,149.965B,(+0.19%),The Charles Schwab Corporation (SCHW),"8,863,318"
28.16,112.461B,(-1.10%),HSBC Holdings plc (HSBC),"8,824,866"
196.98,414.956B,(0.00%),Visa Inc. (V),"8,811,647"
7.14,28.297B,(-0.28%),Barclays PLC (BCS),"9,235,175"
29.28,11.813B,(0.00%),ZoomInfo Technologies Inc. (ZI),"8,891,926"
32.76,21.005B,(-0.03%),"Delta Air Lines, Inc. (DAL)","9,369,087"
5.43,11.641B,(+1.10%),"ASE Technology Holding Co., Ltd. (ASX)","9,225,948"
20.06,13.525B,(+0.75%),"Avantor, Inc. (AVTR)","8,986,690"
80.34,100.766B,(-0.40%),"Gilead Sciences, Inc. (GILD)","9,103,264"
4.7300,3.022B,(0.00%),"Altice USA, Inc. (ATUS)","7,678,261"
47.10,37.139B,(-0.06%),"Fortinet, Inc. (FTNT)","9,579,970"
160.01,95.363B,(-0.12%),The Boeing Company (BA),"9,265,866"
99.56,130.819B,(-0.07%),CVS Health Corporation (CVS),"8,279,814"
12.08,33.289B,(+1.66%),Vodafone Group Public Limited Company (VOD),"9,630,188"
42.62,13.934B,(-0.21%),"United Airlines Holdings, Inc. (UAL)","9,718,510"
18.23,17.007B,(+0.88%),KeyCorp (KEY),"9,697,064"
8.25,3.146B,(-1.45%),Farfetch Limited (FTCH),"9,382,347"
6.97,2.432B,(+0.43%),Hanesbrands Inc. (HBI),"9,723,170"
13.54,42.415B,(0.00%),Stellantis N.V. (STLA),"10,105,242"
17.20,12.281B,(-2.21%),"Host Hotels & Resorts, Inc. (HST)","10,097,485"
96.09,61.449B,(-0.20%),"Airbnb, Inc. (ABNB)","9,717,396"
59.26,256.27B,(+0.10%),The Coca-Cola Company (KO),"9,376,429"
95.79,151.618B,(+0.01%),"NIKE, Inc. (NKE)","11,511,754"
2.7400,2.782B,(+2.19%),ironSource Ltd. (IS),"11,559,484"
28.00,17.849B,(+1.00%),Trip.com Group Limited (TCOM),"12,525,837"
25.26,7.382B,(+0.36%),Unity Software Inc. (U),"15,990,894"
38.48,34.444B,(+0.18%),Halliburton Company (HAL),"11,794,637"
106.69,119.493B,(+0.01%),QUALCOMM Incorporated (QCOM),"11,977,934"
37.18,36.374B,(0.00%),Exelon Corporation (EXC),"12,529,724"
26.99,3.448B,(-0.15%),Peabody Energy Corporation (BTU),"11,489,387"
62.48,324.026B,(+0.03%),Taiwan Semiconductor Manufacturing Company Limited (TSM),"12,783,313"
2.8300,10.587B,(-1.06%),Grab Holdings Limited (GRAB),"13,237,228"
5.33,9.091B,(-3.56%),Gerdau S.A. (GGB),"12,822,407"
4.7600,2.562B,(-0.42%),Hecla Mining Company (HL),"12,851,512"
14.25,18.432B,(-0.28%),Hewlett Packard Enterprise Company (HPE),"12,793,711"
8.35,4.383B,(+0.24%),AGNC Investment Corp. (AGNC),"13,346,134"
20.62,5.572B,(-0.44%),United States Steel Corporation (X),"12,274,288"
42.83,63.508B,(-0.02%),U.S. Bancorp (USB),"13,535,917"
29.63,65.719B,(-0.27%),CSX Corporation (CSX),"13,867,712"
24.04,4.976B,(-0.21%),Sunrun Inc. (RUN),"13,901,073"
11.26,6.714B,(+0.18%),"Medical Properties Trust, Inc. (MPW)","14,166,804"
28.29,30.63B,(-0.39%),HP Inc. (HPQ),"13,348,349"
8.29,3.628B,(-0.97%),"Under Armour, Inc. (UAA)","12,811,992"
12.50,8.889B,(0.00%),"Plains All American Pipeline, L.P. (PAA)","5,206,471"
71.48,48.392B,(-0.15%),Devon Energy Corporation (DVN),"14,201,208"
31.03,18.518B,(-0.06%),Invitation Homes Inc. (INVH),"4,927,423"
7.20,3.065B,(0.00%),Sprott Physical Silver Trust (PSLV),"14,039,868"
10.40,3.793B,(-0.48%),Blue Owl Capital Inc. (OWL),"5,083,688"
38.97,32.883B,(-2.23%),"Marvell Technology, Inc. (MRVL)","16,068,091"
6.31,12.54B,(+1.74%),"Rocket Companies, Inc. (RKT)","4,919,888"
2.1300,N/A,,DiDi Global Inc. (DIDIY),"5,107,751"
35.98,17.259B,(0.00%),"Conagra Brands, Inc. (CAG)","4,539,583"
52.63,27.964B,(-1.20%),Cognizant Technology Solutions Corporation (CTSH),"5,169,207"
35.13,23.976B,(+0.34%),Fifth Third Bancorp (FITB),"5,778,088"
37.57,6.474B,(0.00%),Exact Sciences Corporation (EXAS),"5,258,916"
89.09,53.071B,(0.00%),Emerson Electric Co. (EMR),"5,011,862"
171.48,451.438B,(-0.08%),Johnson & Johnson (JNJ),"5,066,661"
